0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Obični grab - 13,Obični grab - 13,Obični grab - 13,Crna joha - 7,Crna joha - 7,Crna joha - 7,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Klen - 1,Klen - 1,Klen - 1,,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,6,,,6,,,2,,,1,,,1,,,3-12.5,,,
4-17.5,,,,5,,,4,,,1,,,,,,4-17.5,1,,
5-22.5,3,,,2,,,1,,,1,,,,,,5-22.5,,,
6-27.5,,,,3,,,2,,,,,,,,,6-27.5,,,
7-32.5,,,,2,,,,,,,,,,,,7-32.5,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,
9-42.5,,,,,,,,,,,,,,,,9-42.5,,,
10-47.5,,,,,,,,,,,,,,,,10-47.5,,,
11-52.5,,,,,,,,,,1,,,,,,11-52.5,,,
