0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Obični grab - 13,Obični grab - 13,Obični grab - 13,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Klen - 1,Klen - 1,Klen - 1,,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,,,,,,2,,,,1,,,3-12.5,1,,
4-17.5,,,,,,,1,1,,,,,,,,4-17.5,,,
5-22.5,,,,,,,2,,,,,,,,,5-22.5,,,
6-27.5,,,,,,,,,,,,,,,,6-27.5,,,
7-32.5,,,,,,,1,,,,,,,,,7-32.5,,,
8-37.5,,,,1,,,,,,,,1,,,,8-37.5,,,
9-42.5,,,,,,,1,,,,,1,,,,9-42.5,,,
10-47.5,,,,,,,,,,,,,,,,10-47.5,,,
11-52.5,,,,,,,,,,,,,,,,11-52.5,,,
12-57.5,,,,,,,,,,,,,,,,12-57.5,,,
13-62.5,,,,,,,,,,,,,,,,13-62.5,,,
14-67.5,1,,,,,,,,,,,,,,,14-67.5,,,
15-72.5,1,,,,,,,,,,,,,,,15-72.5,,,
