0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Obični grab - 13,Obični grab - 13,Obični grab - 13,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,2,,,1,,,,,,,,,,,,3-12.5,,,
4-17.5,4,,,,,,,,,,,1,,,,4-17.5,,,
5-22.5,3,,,,,,,,,1,,,1,,,5-22.5,,1,1
6-27.5,3,,,1,,,,,,,,1,,,,6-27.5,,,
7-32.5,,,,1,,,,,,,,,,,,7-32.5,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,
9-42.5,2,,,,,,,,,,,,,,,9-42.5,2,,
10-47.5,,,,,,,1,,,,,,,,,10-47.5,,,
11-52.5,,,,,,,1,,1,,,,,,,11-52.5,2,,
