0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Obični grab - 13,Obični grab - 13,Obični grab - 13,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,,Klen - 1,Klen - 1,Klen - 1
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,
3-12.5,,,,,,,,,,,,,,,,3-12.5,1,,
4-17.5,1,,,,,,,,,,,,,,,4-17.5,,,
5-22.5,3,,,,,,,,,,,,,,,5-22.5,,,
6-27.5,5,,,,,,1,,,,,,,,,6-27.5,,,
7-32.5,2,,,,,,1,,,,,,,,,7-32.5,,,
8-37.5,2,,,,,,,,,1,2,,,,,8-37.5,,,
9-42.5,,,,1,,,1,,,,,,,,,9-42.5,,,
10-47.5,,,,,,,1,,,,,,,,,10-47.5,,,
11-52.5,,,,,,,,,,,,,,,,11-52.5,,,
12-57.5,,,,,,,,,,,,,,,,12-57.5,,,
13-62.5,,,,,,,,,,,,,1,,,13-62.5,,,
